#Shape:0 (Polygon)  nVertices=433  nParts=1
#  Bounds: 44.034 25.075
#      to  63.342 39.781
timezone 3.50
xy 48.294 39.112
xy 48.328 39.052
xy 48.312 39.008
xy 48.071 38.951
xy 48.014 38.906
xy 48.021 38.836
xy 48.244 38.728
xy 48.244 38.667
xy 48.328 38.603
xy 48.442 38.622
xy 48.454 38.565
xy 48.623 38.395
xy 48.789 38.448
xy 48.888 38.442
xy 48.869 38.301
xy 48.942 37.907
xy 48.998 37.764
xy 49.102 37.643
xy 49.420 37.493
xy 49.834 37.451
xy 49.925 37.480
xy 49.969 37.454
xy 49.942 37.445
xy 50.191 37.389
xy 50.352 37.121
xy 51.101 36.729
xy 51.973 36.580
xy 53.223 36.848
xy 53.923 36.910
xy 54.009 36.948
xy 53.985 36.899
xy 53.607 36.868
xy 53.661 36.858
xy 53.634 36.848
xy 53.682 36.817
xy 53.943 36.800
xy 54.029 36.825
xy 54.032 36.948
xy 53.988 36.982
xy 54.016 37.022
xy 53.906 37.351
xy 54.232 37.327
xy 54.552 37.446
xy 54.681 37.444
xy 54.787 37.519
xy 54.810 37.579
xy 54.782 37.648
xy 54.833 37.746
xy 54.955 37.805
xy 55.141 37.956
xy 55.210 37.962
xy 55.443 38.086
xy 55.756 38.125
xy 55.983 38.072
xy 56.164 38.095
xy 56.223 38.070
xy 56.333 38.086
xy 56.353 38.139
xy 56.322 38.185
xy 56.443 38.260
xy 56.614 38.241
xy 56.756 38.286
xy 56.846 38.232
xy 57.059 38.194
xy 57.150 38.260
xy 57.189 38.283
xy 57.205 38.283
xy 57.244 38.271
xy 57.288 38.171
xy 57.371 38.093
xy 57.353 37.989
xy 57.450 37.939
xy 57.708 37.927
xy 58.047 37.809
xy 58.174 37.796
xy 58.203 37.783
xy 58.227 37.681
xy 58.389 37.636
xy 58.498 37.648
xy 58.562 37.709
xy 58.713 37.649
xy 58.804 37.667
xy 58.823 37.704
xy 59.060 37.630
xy 59.250 37.513
xy 59.339 37.539
xy 59.381 37.486
xy 59.393 37.323
xy 59.491 37.248
xy 59.477 37.219
xy 59.567 37.209
xy 59.620 37.132
xy 59.671 37.156
xy 59.813 37.125
xy 59.915 37.059
xy 60.029 37.037
xy 60.278 36.763
xy 60.333 36.656
xy 61.157 36.650
xy 61.190 36.568
xy 61.150 36.315
xy 61.184 36.287
xy 61.229 36.127
xy 61.165 36.035
xy 61.170 35.995
xy 61.124 35.976
xy 61.226 35.904
xy 61.262 35.820
xy 61.229 35.678
xy 61.277 35.607
xy 61.288 35.550
xy 61.194 35.402
xy 61.193 35.306
xy 61.104 35.279
xy 61.095 35.184
xy 61.142 35.098
xy 61.070 34.929
xy 61.063 34.809
xy 60.983 34.734
xy 60.971 34.644
xy 60.722 34.522
xy 60.915 34.320
xy 60.666 34.312
xy 60.676 34.288
xy 60.546 34.196
xy 60.504 34.122
xy 60.554 33.813
xy 60.505 33.739
xy 60.528 33.644
xy 60.666 33.567
xy 60.886 33.557
xy 60.943 33.519
xy 60.854 33.490
xy 60.852 33.418
xy 60.591 33.163
xy 60.581 33.089
xy 60.858 32.235
xy 60.837 32.090
xy 60.797 32.037
xy 60.844 31.498
xy 61.104 31.463
xy 61.714 31.383
xy 61.771 31.318
xy 61.765 31.245
xy 61.851 31.021
xy 61.804 30.945
xy 61.787 30.810
xy 60.866 29.864
# Shape:1 (Polygon)  nVertices=319 nParts=1
#   Bounds:60.504 29.389
#       to 74.916 38.472
timezone 4.50
xy 61.277 35.607
xy 61.379 35.635
xy 61.406 35.564
xy 61.596 35.444
xy 61.802 35.411
xy 61.996 35.458
xy 62.133 35.368
xy 62.269 35.286
xy 62.309 35.142
xy 62.465 35.289
xy 62.554 35.234
xy 62.722 35.255
xy 62.922 35.384
xy 63.105 35.451
xy 63.127 35.534
xy 63.095 35.626
xy 63.240 35.699
xy 63.130 35.775
xy 63.119 35.862
xy 63.342 35.857
xy 63.528 35.905
xy 63.601 35.964
xy 63.778 35.981
xy 63.921 36.037
xy 64.064 36.000
xy 64.060 36.088
xy 64.095 36.123
xy 64.181 36.171
xy 64.282 36.152
xy 64.337 36.225
xy 64.474 36.256
xy 64.615 36.424
xy 64.617 36.636
xy 64.795 36.923
xy 64.779 37.096
xy 64.823 37.139
xy 65.073 37.244
xy 65.554 37.256
xy 65.651 37.356
xy 65.644 37.449
xy 65.681 37.517
xy 65.772 37.537
xy 65.782 37.572
xy 65.845 37.504
xy 66.091 37.432
xy 66.290 37.325
xy 66.408 37.346
xy 66.447 37.319
xy 66.538 37.366
xy 66.672 37.338
xy 67.004 37.382
xy 67.096 37.340
xy 67.117 37.280
xy 67.186 37.258
xy 67.240 37.186
xy 67.397 37.217
xy 67.492 37.281
xy 67.557 37.216
xy 67.643 37.247
xy 67.755 37.221
xy 67.780 37.186
xy 67.782 37.096
xy 67.886 37.061
xy 68.028 36.924
xy 68.187 37.021
xy 68.275 37.012
xy 68.295 37.108
xy 68.397 37.099
xy 68.412 37.148
xy 68.624 37.201
xy 68.664 37.275
xy 68.822 37.245
xy 68.807 37.318
xy 68.838 37.327
xy 68.919 37.276
xy 68.888 37.339
xy 69.000 37.308
xy 69.125 37.163
xy 69.247 37.094
xy 69.389 37.159
xy 69.451 37.225
xy 69.411 37.241
xy 69.380 37.451
xy 69.516 37.581
xy 69.807 37.583
xy 69.899 37.615
xy 69.959 37.565
xy 70.062 37.541
xy 70.162 37.540
xy 70.216 37.616
xy 70.254 37.616
xy 70.286 37.697
xy 70.247 37.813
xy 70.166 37.872
xy 70.161 37.933
xy 70.247 37.932
xy 70.247 37.964
xy 70.464 38.111
xy 70.584 38.278
xy 70.598 38.342
xy 70.686 38.375
xy 70.672 38.414
xy 70.874 38.453
xy 70.930 38.430
xy 70.967 38.472
xy 71.050 38.403
xy 71.146 38.386
xy 71.366 38.236
xy 71.253 37.922
xy 71.335 37.888
xy 71.515 37.948
xy 71.592 37.903
xy 71.589 37.816
xy 71.529 37.764
xy 71.496 37.558
xy 71.514 37.468
xy 71.479 37.410
xy 71.490 37.284
xy 71.447 37.207
xy 71.429 37.076
xy 71.457 36.945
xy 71.555 36.761
xy 71.610 36.700
xy 71.695 36.672
xy 71.843 36.692
xy 72.306 36.978
xy 72.659 37.021
xy 72.794 37.226
xy 73.069 37.314
xy 73.151 37.400
xy 73.307 37.463
xy 73.372 37.447
xy 73.456 37.476
xy 73.776 37.434
xy 73.769 37.341
xy 73.649 37.304
xy 73.620 37.262
xy 73.739 37.222
xy 74.197 37.339
xy 74.237 37.361
xy 74.240 37.407
xy 74.364 37.428
xy 74.542 37.382
xy 74.684 37.400
xy 74.833 37.325
xy 74.916 37.237
xy 74.811 37.220
xy 74.751 37.304
xy 74.651 37.235
xy 74.530 37.242
xy 74.479 37.179
xy 74.397 37.178
xy 74.401 37.139
xy 74.565 37.028
xy 74.553 36.962
xy 74.489 37.010
xy 74.420 37.001
xy 74.252 36.899
xy 74.152 36.904
xy 74.121 36.839
xy 74.038 36.815
